Marka,Model,Year,Price,Brand ID,Model ID
Toyota,Vellfire,2009,7700000,0,0
Toyota,Alphard,2006,6500000,0,1
Toyota,Vellfire,2009,7700000,0,0
Toyota,Estima,2012,6300000,0,2
Toyota,Estima,2012,6500000,0,2
Toyota,Vellfire,2009,7500000,0,0
Toyota,Vellfire,2010,7800000,0,0
UAZ,3303,1987,1300000,1,3
Toyota,Estima,2013,6300000,0,2
Kia,K5,2021,15800000,2,4
Zeekr,001,2023,29000000,3,5
Toyota,Estima,2012,6300000,0,2
Toyota,Estima,2012,6300000,0,2
Land Rover,Range Rover,2021,51000000,4,6
Land Rover,Range Rover Sport,2007,9000000,4,7
Dodge,Challenger,2019,20000000,5,8
Toyota,Tacoma,2005,13500000,0,9
Audi,A5,2007,8800000,6,10
Mini,Hatch,2002,4800000,7,11
Porsche,Cayenne,2007,9000000,8,12
Jeep,Grand Cherokee,2009,20000000,9,13
Maserati,Quattroporte,2004,8500000,10,14
BMW,X5 M,2009,16000000,11,15
Mercedes-Benz,E 220,2006,5500000,12,16
Toyota,Estima,2007,7500000,0,2
Hyundai,Elantra,2014,6800000,13,17
Toyota,Carina E,1992,2550000,0,18
Toyota,Highlander,2003,9000000,0,19
Hyundai,Sonata,2005,1600000,13,20
Toyota,Land Cruiser Prado,2006,11000000,0,21
Audi,100,1991,2800000,6,22
Mercedes-Benz,E 320,2000,7000000,12,23
Mitsubishi,Montero Sport,2000,5500000,14,24
Mercedes-Benz,C 180,2008,5300000,12,25
Hyundai,Elantra,2013,2250000,13,17
Honda,Concerto,1993,1300000,15,26
VAZ,2114,2013,3150000,16,27
Nissan,Terrano,2016,6900000,17,28
Zeekr,001,2022,26400000,3,5
Nissan,Patrol,2006,12500000,17,29
BMW,X5,2011,10300000,11,30
Mercedes-Benz,E 220,1993,1680000,12,16
Kia,K5,2021,14000000,2,4
BMW,X6,2022,68000000,11,31
Mazda,Cronos,1995,2000000,18,32
Audi,100,1990,2200000,6,22
Subaru,Outback,2009,6700000,19,33
Toyota,Carina E,1994,1680000,0,18
Mercedes-Benz,CLS 55 AMG,2007,9500000,12,34
Audi,100,1991,1950000,6,22
Nissan,Cefiro,1996,2800000,17,35
Hyundai,Sonata,2019,9500000,13,20
Lexus,LX 570,2008,18000000,20,36
Mercedes-Benz,S 500,2007,8500000,12,37
Toyota,Camry,2007,7850000,0,38
Suzuki,SX4,2012,5900000,21,39
Porsche,Cayenne,2021,77000000,8,12
Porsche,Panamera,2017,68500000,8,40
Porsche,Cayenne,2016,27500000,8,12
Nissan,Teana,2003,4000000,17,41
Mercedes-Benz,S 63 AMG,2014,39500000,12,42
Toyota,Land Cruiser,2014,28000000,0,43
VAZ,Priora 2170,2011,2000000,16,44
Chevrolet,Cruze,2013,4800000,22,45
Volkswagen,Transporter,1994,2100000,23,46
VAZ,2114,2013,2400000,16,27
Mercedes-Benz,C 280,1994,2400000,12,47
Mercedes-Benz,E 260,1992,768000,12,48
BMW,525,2001,4750000,11,49
Hyundai,Accent,2022,10600000,13,50
Land Rover,Range Rover,2006,11000000,4,6
Toyota,Avensis,2012,8150000,0,51
Mercedes-Benz,GLE 63 AMG,2021,100000000,12,52
Ford,Mustang,2014,15000000,24,53
Hyundai,Starex,2004,4250000,13,54
Lexus,GS 350,2013,14900000,20,55
BMW,540,1992,2700000,11,56
Cadillac,Escalade,2020,42000000,25,57
Nissan,X-Trail,2021,18000000,17,58
Land Rover,Discovery Sport,2019,20500000,4,59
Honda,e:NS1,2023,11700000,15,60
Toyota,Land Cruiser,2021,41000000,0,43
BYD,Han,2022,21800000,26,61
Subaru,Legacy,2001,2900000,19,62
VAZ,Priora 2170,2014,2300000,16,44
Mercedes-Benz,ML 350,2006,6950000,12,63
Toyota,Camry,2014,10500000,0,38
Toyota,Highlander,2013,15900000,0,19
Kia,Sorento,2018,12500000,2,64
Toyota,Corolla,2012,7300000,0,65
Toyota,Camry,2007,7300000,0,38
Lexus,RX 350,2023,44000000,20,66
Hyundai,Santa Fe,2021,18500000,13,67
Honda,M-NV,2022,10500000,15,68
Toyota,Camry,2007,7500000,0,38
Mazda,3,2015,7800000,18,69
Toyota,Estima,2013,12800000,0,2
BMW,X2,2019,14999999,11,70
Mercedes-Benz,E 200,1993,1500000,12,71
Subaru,Outback,2016,7777777,19,33
Opel,Vectra,1993,2500000,27,72
BMW,740,2015,18500000,11,73
Zeekr,X,2023,15200000,3,74
Volkswagen,ID.4,2022,16200000,23,75
Mitsubishi,Montero Sport,1997,4600000,14,24
Zeekr,001,2023,27700000,3,5
Nissan,Maxima,1994,1500000,17,76
Mitsubishi,Outlander,2020,12600000,14,77
Infiniti,QX80,2021,43000000,28,78
Kia,Sorento,2021,22900000,2,64
Toyota,Tundra,2010,25000000,0,79
Lexus,GS 300,2001,4100000,20,80
Hyundai,Elantra,2023,11199999,13,17
Opel,Vectra,1992,800000,27,72
Toyota,Alphard,2007,7000000,0,1
Mitsubishi,Delica,2003,6700000,14,81
Kia,Sorento,2022,25500000,2,64
Toyota,4Runner,2003,10000000,0,82
Mercedes-Benz,E 350,2021,40000000,12,83
Nissan,X-Trail,2021,15200000,17,58
Toyota,Land Cruiser Prado,2016,20500000,0,21
Volvo,S60,2001,3700000,29,84
Lexus,GS 300,2006,6800000,20,80
Chevrolet,Cruze,2015,6000000,22,45
Volkswagen,Golf,1992,1000000,23,85
Changan,Eado,2014,2500000,30,86
Genesis,G80,2020,27500000,31,87
Mitsubishi,ASX,2014,8300000,14,88
Mercedes-Benz,CLS 350,2012,19700000,12,89
Mitsubishi,Outlander,2005,4500000,14,77
Mitsubishi,Outlander,2022,21200000,14,77
Toyota,Camry,2023,22000000,0,38
Hyundai,Sonata,2022,19300000,13,20
Lexus,RX 350,2017,25000000,20,66
Hyundai,Staria,2022,28900000,13,90
Subaru,Outback,2011,8500000,19,33
Kia,Soul,2019,11200000,2,91
BMW,530,2022,39500000,11,92
Toyota,RAV 4,2020,14200000,0,93
Lexus,ES 250,2021,27500000,20,94
GAZ,GAZel',2007,2700000,32,95
UAZ,Hunter,2011,3000000,1,96
Subaru,Impreza,2005,4000000,19,97
Lexus,RX 300,1999,6200000,20,98
Lexus,NX 350,2022,38500000,20,99
Kia,K5,2011,7300000,2,4
Zeekr,001,2023,28500000,3,5
Kia,K8,2022,24000000,2,100
Toyota,Camry,2012,9200000,0,38
Volkswagen,Passat,2019,8300000,23,101
BMW,530,2001,5400000,11,92
Hyundai,Sonata,2011,7000000,13,20
Mitsubishi,Pajero,1995,3600000,14,102
Toyota,Highlander,2011,15500000,0,19
BMW,X4,2022,36500000,11,103
Toyota,Windom,2005,7200000,0,104
Toyota,Carina E,1996,1450000,0,18
SsangYong,Rexton,2008,5800000,33,105
Toyota,Celica,1992,1800000,0,106
Toyota,Camry,2016,13000000,0,38
Infiniti,QX80,2015,16200000,28,78
Hyundai,Tucson,2022,21500000,13,107
Hyundai,Grandeur,2021,20000000,13,108
Mitsubishi,Pajero,2007,8700000,14,102
Toyota,Camry,1992,1800000,0,38
Zeekr,001,2023,32000000,3,5
Zeekr,X,2023,17400000,3,74
Opel,Omega,1999,2550000,27,109
Kia,Bongo,2022,15700000,2,110
Toyota,Tundra,2021,44000000,0,79
Lotus,Eletre,2023,70000000,34,111
Zeekr,X,2023,18500000,3,74
Voyah,Free,2023,23500000,35,112
BMW,320,2022,30000000,11,113
Hyundai,Solaris,2022,8700000,13,114
Toyota,Corolla,2023,11999999,0,65
Toyota,Land Cruiser,1990,8500000,0,43
Lexus,LS 460,2009,8500000,20,115
Nissan,Maxima,1997,2550000,17,76
Toyota,Land Cruiser,2008,12500000,0,43
Mercedes-Benz,E 320,2003,6500000,12,23
Zeekr,001,2023,26000000,3,5
Mercedes-Benz,S 63 AMG,2013,30000000,12,42
Kia,Sorento,2021,18200000,2,64
Mercedes-Benz,E 53 AMG,2022,45500000,12,116
Audi,A8,2020,55000000,6,117
Land Rover,Range Rover,2014,24500000,4,6
Subaru,Forester,2007,7000000,19,118
GAZ,GAZel',2011,4700000,32,95
Mercedes-Benz,190,1990,1800000,12,119
Hongqi,E-HS9,2022,51000000,36,120
Toyota,Camry,2020,18850000,0,38
Mazda,CX-5,2018,13500000,18,121
Nissan,Maxima,2010,5900000,17,76
Toyota,Land Cruiser,2014,27500000,0,43
BMW,X5,2012,12500000,11,30
Lexus,GS 350,2012,13000000,20,55
BMW,528,2014,15700000,11,122
Toyota,RAV 4,2023,22950000,0,93
Ford,Transit,2012,5500000,24,123
Hyundai,Santa Fe,2020,15900000,13,67
Lexus,GX 470,2003,12900000,20,124
Toyota,Camry,2020,18500000,0,38
Chevrolet,Cruze,2014,4500000,22,45
Subaru,Forester,2015,8500000,19,118
Hyundai,Elantra,2019,8600000,13,17
Mitsubishi,Pajero,1994,2500000,14,102
Kia,Sportage,2014,8500000,2,125
Toyota,Camry,2018,14700000,0,38
Toyota,Alphard,2005,8800000,0,1
Porsche,Macan,2014,22500000,8,126
Porsche,Macan,2014,22500000,8,126
Toyota,RAV 4,2013,11000000,0,93
Audi,A6,2017,18000000,6,127
Toyota,Avensis,2000,2700000,0,51
Porsche,Panamera,2010,17500000,8,40
Toyota,Camry,2007,8000000,0,38
Hyundai,Tucson,2021,17500000,13,107
Hyundai,Santa Fe,2023,22474000,13,67
Honda,Elysion,2006,5900000,15,128
Toyota,Highlander,2021,26000000,0,19
Kia,K8,2021,29300000,2,100
Toyota,Camry,2020,14000000,0,38
Zeekr,001,2023,25000000,3,5
BMW,540,1992,3200000,11,56
Hyundai,Accent,2020,8250000,13,50
Audi,A8,2005,6000000,6,117
BMW,318,2000,3000000,11,129
Toyota,Camry,2013,9500000,0,38
Audi,100,1992,1500000,6,22
BMW,X5,2011,10800000,11,30
Subaru,Forester,1997,2900000,19,118
Hyundai,Tucson,2023,16200000,13,107
Mercedes-Benz,S 350,2006,7700000,12,130
Mitsubishi,Montero Sport,1999,3300000,14,24
Hyundai,Elantra,2019,12500000,13,17
Toyota,Camry,2014,11300000,0,38
BMW,X5,2011,11500000,11,30
Audi,Q7,2007,7500000,6,131
Volvo,XC90,2004,4900000,29,132
Hyundai,Tucson,2007,5300000,13,107
Hyundai,Sonata,2008,3700000,13,20
Daewoo,Nexia,2012,2650000,37,133
Audi,A4,1996,1300000,6,134
Toyota,Highlander,2008,11000000,0,19
Toyota,Land Cruiser Prado,1997,5800000,0,21
Toyota,Camry,2016,10600000,0,38
Mitsubishi,Outlander,2003,3500000,14,77
Volkswagen,Multivan,1994,3650000,23,135
Kia,Cee’d,2022,12600000,2,136
Kia,K5,2019,9700000,2,4
Toyota,Camry,2016,12900000,0,38
Chevrolet,Spark,2023,5950000,22,137
Mitsubishi,ASX,2012,6950000,14,88
Hyundai,Sonata,2022,18500000,13,20
Toyota,Camry,2003,5111370,0,38
Kia,K5,2021,15500000,2,4
Toyota,Hilux,2019,17300000,0,138
Mercedes-Benz,ML 500,2005,6200000,12,139
Subaru,Outback,2013,10000000,19,33
Mercedes-Benz,E 280,1993,2400000,12,140
BMW,320,2022,28500000,11,113
Hyundai,Elantra,2018,8500000,13,17
Lexus,RX 350,2016,20500000,20,66
Zeekr,001,2023,29000000,3,5
BMW,750,2007,7700000,11,141
Volkswagen,ID.6,2023,25200000,23,142
Toyota,Land Cruiser Prado,2019,26500000,0,21
Hyundai,Creta,2019,9500000,13,143
Toyota,Camry,2010,6999999,0,38
Hyundai,Palisade,2022,32300000,13,144
Mercedes-Benz,Sprinter,2006,6400000,12,145
BMW,428,2014,10900000,11,146
Land Rover,Range Rover,2002,5600000,4,6
Toyota,4Runner,2021,29000000,0,82
BMW,X7,2020,43000000,11,147
Kia,K7,2019,12000000,2,148
Land Rover,Discovery,1997,4500000,4,149
Volkswagen,ID.4,2022,16300000,23,75
Ford,Transit,2002,4900000,24,123
Hyundai,Avante,2022,17000000,13,150
Land Rover,Range Rover,2019,67777777,4,6
Kia,Rio,2014,3700000,2,151
Toyota,Land Cruiser,2022,65500000,0,43
Hyundai,Grandeur,2022,23000000,13,108
BMW,318,1991,1150000,11,129
Toyota,Tundra,2023,48900000,0,79
Volkswagen,Polo,2018,7200000,23,152
Lexus,RX 350,2022,38500000,20,66
Audi,A6,2006,3900000,6,127
Lexus,RX 350,2020,27000000,20,66
Hyundai,Palisade,2022,26000000,13,144
Toyota,Land Cruiser Prado,1993,3500000,0,21
Toyota,Land Cruiser Prado,2007,11600000,0,21
Toyota,Land Cruiser Prado,2013,24000000,0,21
Opel,Vectra,2001,1500000,27,72
Land Rover,Discovery,2011,17500000,4,149
Toyota,Land Cruiser,2006,12300000,0,43
Mercedes-Benz,E 230,1996,2000000,12,153
Toyota,Corolla,2023,11900000,0,65
Volkswagen,Touareg,2005,5900000,23,154
Mitsubishi,Galant,1999,3200000,14,155
VAZ,Priora 2170,2015,2500000,16,44
Toyota,Camry,2022,16290000,0,38
